"region","name","initial","min","max","integer","include"
"midlands","beta3",0.0191953950956681,0,1,FALSE,TRUE
"midlands","beta4",0.0377201185403732,0,1,FALSE,TRUE
"midlands","beta5",0.0323217155918997,0,1,FALSE,TRUE
"midlands","beta6",0.0330830429190555,0,1,FALSE,TRUE
"midlands","beta7",0.0350932172688131,0,1,FALSE,TRUE
"midlands","beta8",0.0602590611852327,0,1,FALSE,TRUE
"midlands","beta9",0.0505076706611065,0,1,FALSE,TRUE
"midlands","eps",0.472833340199018,0,1,FALSE,TRUE
"midlands","m_CHR",7.10789792777444e-06,0,1,FALSE,TRUE
"midlands","m_CHW",1.24298767327367e-06,0,1,FALSE,TRUE
"midlands","mu_D",0.613087687732832,0,1,FALSE,TRUE
"midlands","mu_D_2",0.860246023016399,0,1,FALSE,TRUE
"midlands","mu_gamma_H",0.871311435181421,0,2,FALSE,TRUE
"midlands","mu_gamma_H_2",0.838594266404782,0,2,FALSE,TRUE
"midlands","mu_gamma_H_3",0.63525317843219,0,2,FALSE,TRUE
"midlands","mu_gamma_H_4",0.559956904048294,0,2,FALSE,TRUE
"midlands","p_G_D",0.0335151690808413,0,1,FALSE,TRUE
"midlands","p_G_D_CHR",0.32219550507972,0,1,FALSE,TRUE
"midlands","p_H",0.438116760756271,0,1,FALSE,TRUE
"midlands","p_H_2",0.99186518749887,0,1,FALSE,TRUE
"midlands","p_H_3",0.998354306813523,0,1,FALSE,TRUE
"midlands","p_H_D",0.333303824315741,0,1,FALSE,TRUE
"midlands","p_ICU",0.192736184997803,0,1,FALSE,TRUE
"midlands","p_ICU_2",0.120928567159128,0,1,FALSE,TRUE
"midlands","p_ICU_D",0.747865392494426,0,1,FALSE,TRUE
"midlands","p_NC",0.00460422155116773,0,1,FALSE,TRUE
"midlands","p_NC_weekend",0.0023015327329882,0,1,FALSE,TRUE
"midlands","p_W_D",0.323266154149623,0,1,FALSE,TRUE
"midlands","rel_p_D_delta",0.802394977395557,0,3,FALSE,TRUE
"midlands","rel_p_H_delta",1.33634638408209,0,3,FALSE,TRUE
"midlands","rel_p_ICU_delta",1.2568239444927,0,3,FALSE,TRUE
"midlands","rho_pillar2_tests",0.00288208447994808,0,1,FALSE,TRUE
"midlands","seed_date_delta",461.000662584576,433,517,FALSE,TRUE
"midlands","start_date",28.3799083096796,1,75,FALSE,TRUE
"midlands","ta_delta",1.58654860076508,0,3,FALSE,TRUE
"north_east_and_yorkshire","alpha_D",0.0388959272811174,0,1,FALSE,TRUE
"north_east_and_yorkshire","alpha_death_hosp",0.0320785013460845,0,1,FALSE,TRUE
"north_east_and_yorkshire","alpha_H",0.0198390059696817,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta1",0.114477483987505,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta10",0.0436328074236886,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta11",0.0514380130713392,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta12",0.0285479007957174,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta13",0.0443773270546851,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta14",0.0456973510213788,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta15",0.068300493319307,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta16",0.0415399224187273,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta17",0.0489237015118515,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta18",0.0595425896729461,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta19",0.0578317624536414,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta2",0.0510462843790078,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta20",0.0570070233586523,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta21",0.0605645791575926,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta22",0.0455576984181698,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta23",0.0772291790680993,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta24",0.0403410172875604,0,1,FALSE,TRUE
"north_east_and_yorkshire","beta25",0.0670803579223884,0,1,FALSE,TRUE
